load_step_names,image_names,imag,Fh [kN],u [mm],,,,,,验证（观察前面的阶段变化，每次名称转化即意味着时间转换（加载阶段））,
RS5_LS36_to_LS37,LS36_to_LS37_RS5_0059,LS36,-40.31,-6.549061347,,存在,59,1931,1931,TRUE,1990
RS5_LS37_to_LS38,LS37_to_LS38_RS5_0024,LS37,-0.4961,-0.694963806,,存在,24,1990,1990,TRUE,2014
RS5_LS37_to_LS38,LS37_to_LS38_RS5_0055,LS37,44.51,7.772687665,,存在,55,1990,1990,TRUE,2045
RS5_LS38_to_LS39,LS38_to_LS39_RS5_0028,LS38,0.6852,0.933573764,,存在,28,2045,2045,TRUE,2073
RS5_LS38_to_LS39,LS38_to_LS39_RS5_0060,LS38,-41.49,-7.827844565,,存在,60,2045,2045,TRUE,2105
RS5_LS39_to_LS40,LS39_to_LS40_RS5_0029,LS39,-0.2167,-0.7444216,,存在,29,2105,2105,TRUE,2134
RS5_LS39_to_LS40,LS39_to_LS40_RS5_0061,LS39,44.14,8.027059074,,存在,61,2105,2105,TRUE,2166
RS5_LS40_to_LS41,LS40_to_LS41_RS5_0027,LS40,0.0349,0.918411101,,存在,27,2166,2166,TRUE,2193
RS5_LS40_to_LS41,LS40_to_LS41_RS5_0059,LS40,-41.13,-7.873725518,,存在,59,2166,2166,TRUE,2225
RS5_LS41_to_LS42,LS41_to_LS42_RS5_0026,LS41,0.9198,-0.670754338,,存在,26,2225,2225,TRUE,2251
RS5_LS41_to_LS42,LS41_to_LS42_RS5_0061,LS41,44.94,10.46446218,,存在,61,2225,2225,TRUE,2286
RS5_LS42_to_LS43,LS42_to_LS43_RS5_0031,LS42,-0.1474,1.235039445,,存在,31,2286,2286,TRUE,2317
RS5_LS42_to_LS43,LS42_to_LS43_RS5_0068,LS42,-42.32,-10.53341198,,存在,68,2286,2286,TRUE,2354
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0033,LS43,0.4227,-0.727339306,,存在,33,2354,2354,TRUE,2387
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0069,LS43,44.35,10.78670045,,存在,69,2354,2354,TRUE,2423
RS5_LS43_to_LS44,LS43_to_LS44_RS5_0070,LS43,44.5,10.77364321,,存在,70,2354,2354,TRUE,2424
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0031,LS44,0.6885,1.390526182,,存在,31,2424,2424,TRUE,2455
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0068,LS44,-41.9,-10.38367942,,存在,68,2424,2424,TRUE,2492
RS5_LS44_to_LS45,LS44_to_LS45_RS5_0069,LS44,-41.6,-10.71266698,,存在,69,2424,2424,TRUE,2493
RS5_LS45_to_LS46,LS45_to_LS46_RS5_0027,LS45,0.813,-0.845888294,,存在,27,2493,2493,TRUE,2520
RS5_LS45_to_LS46,LS45_to_LS46_RS5_0062,LS45,45.11,13.25792718,,存在,62,2493,2493,TRUE,2555
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0032,LS46,-1.173,1.492810687,,存在,32,2555,2555,TRUE,2587
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0069,LS46,-42.54,-13.3650866,,存在,69,2555,2555,TRUE,2624
RS5_LS46_to_LS47,LS46_to_LS47_RS5_0071,LS46,-41.77,-13.4210413,,存在,71,2555,2555,TRUE,2626
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0033,LS47,-0.7682,-1.328927595,,存在,33,2626,2626,TRUE,2659
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0069,LS47,44.6,13.19061455,,存在,69,2626,2626,TRUE,2695
RS5_LS47_to_LS48,LS47_to_LS48_RS5_0071,LS47,44.43,13.56482131,,存在,71,2626,2626,TRUE,2697
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0033,LS48,0.6081,1.838820811,,存在,33,2697,2697,TRUE,2730
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0071,LS48,-42.32,-13.42036651,,存在,71,2697,2697,TRUE,2768
RS5_LS48_to_LS49,LS48_to_LS49_RS5_0073,LS48,-41.44,-13.46902072,,存在,73,2697,2697,TRUE,2770
RS5_LS49_to_LS50,LS49_to_LS50_RS5_0029,LS49,0.6599,-1.496082768,,存在,29,2770,2770,TRUE,2799
RS5_LS49_to_LS50,LS49_to_LS50_RS5_0073,LS49,45.39,20.16840434,,存在,73,2770,2770,TRUE,2843
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0048,LS50,-1.012,2.447327625,,存在,48,2843,2843,TRUE,2891
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0083,LS50,-42.14,-14.55534692,,存在,83,2843,2843,TRUE,2926
RS5_LS50_to_LS51,LS50_to_LS51_RS5_0095,LS50,-39.94,-20.26279134,,存在,95,2843,2843,TRUE,2938
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0033,LS51,-0.08906,-5.52595011,,存在,33,2938,2938,TRUE,2971
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0083,LS51,44.77,19.09919804,,存在,83,2938,2938,TRUE,3021
RS5_LS51_to_LS52,LS51_to_LS52_RS5_0085,LS51,44.74,20.0695162,,存在,85,2938,2938,TRUE,3023
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0038,LS52,0.987,2.862838574,,存在,38,3023,3023,TRUE,3061
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0085,LS52,-40.2,-19.91993585,,存在,85,3023,3023,TRUE,3108
RS5_LS52_to_LS53,LS52_to_LS53_RS5_0086,LS52,-39.73,-20.25273299,,存在,86,3023,3023,TRUE,3109
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0027,LS53,-0.2148,-5.940623405,,存在,27,3109,3109,TRUE,3136
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0075,LS53,44.35,23.91882908,,存在,75,3109,3109,TRUE,3184
RS5_LS53_to_LS54,LS53_to_LS54_RS5_0079,LS53,44.16,26.49063195,,存在,79,3109,3109,TRUE,3188
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0035,LS54,0.1076,7.000721178,,存在,35,3188,3188,TRUE,3223
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0078,LS54,-39.34,-18.58168711,,存在,78,3188,3188,TRUE,3266
RS5_LS54_to_LS55,LS54_to_LS55_RS5_0089,LS54,-38.37,-25.17261361,,存在,89,3188,3188,TRUE,3277
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0030,LS55,0.3896,-9.770462756,,存在,30,3277,3277,TRUE,3307
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0080,LS55,43.85,20.8638319,,存在,80,3277,3277,TRUE,3357
RS5_LS55_to_LS56,LS55_to_LS56_RS5_0094,LS55,31.26,24.52944015,,存在,94,3277,3277,TRUE,3371
