Fh [kN],u [mm]
8.632,0.422165848
7.848,0.408369467
7.051,0.392029187
6.331,0.380803878
5.487,0.365080177
4.695,0.346340315
4.054,0.329285159
3.246,0.320550519
2.672,0.311424402
1.998,0.300604453
1.383,0.285769071
0.8247,0.269879646
0.1935,0.265899573
-0.3703,0.247006196
-0.8971,0.251893083
-1.3,0.237234357
-1.633,0.227656227
-2.165,0.218870268
-2.684,0.21256722
-3.141,0.202617619
-3.488,0.190215092
-3.893,0.184016316
-4.348,0.179805699
-4.973,0.162153408
-5.588,0.158552932
-6.21,0.137020933
-6.915,0.126123117
-7.482,0.11423915
-8.154,0.094307267
-8.758,0.095040419
-9.462,0.072111404
-10.1,0.056194453
-10.63,0.046023732
-11.4,0.031371298
-11.89,0.009392639
-12.42,0.007003748
-13.12,-0.016550256
-13.62,-0.032184063
-14.02,-0.050900886
-14.6,-0.060682392
-15.17,-0.076468792
-15.51,-0.092509227
-16.38,-0.11336269
-16.7,-0.137707714
-17.33,-0.151330826
-18.33,-0.182999794
-18.64,-0.203612314
-19.39,-0.226533606
-19.61,-0.240731151
-19.99,-0.253028159
-20.27,-0.276840871
-20.45,-0.291003296
-20.78,-0.30293387
-21.43,-0.31763826
-21.28,-0.338669939
-21.71,-0.359691282
-21.79,-0.375809284
-22.07,-0.385813079
-22.4,-0.403515533
-22.48,-0.422884792
-22.69,-0.44130018
-22.98,-0.454781003
-23.17,-0.471099408
-23.3,-0.493317723
-23.52,-0.510465027
-23.76,-0.523120238
-24.01,-0.537455399
-24.19,-0.555776483
-24.4,-0.570259895
-24.5,-0.590217233
-24.69,-0.603820718
-24.99,-0.625405831
-25.2,-0.640772589
-25.35,-0.655817426
-25.48,-0.672984402
-25.6,-0.692245268
-25.92,-0.705776253
-26.18,-0.718441698
-26.26,-0.74127302
-26.32,-0.760267561
-26.64,-0.770249673
-26.89,-0.791671768
-26.98,-0.799757753
-27.04,-0.825486748
-27.37,-0.834600954
-27.58,-0.860230594
-27.66,-0.875541966
-27.76,-0.895669863
-28.04,-0.903582897
-28.29,-0.926905651
-28.46,-0.941698398
-28.49,-0.958084583
-28.73,-0.978967236
-28.94,-0.998109395
-29.16,-1.011779007
-29.29,-1.031233049
-29.43,-1.04800098
-29.58,-1.063586911
-29.71,-1.07850078
-29.75,-1.080277469
-29.58,-1.077796291
-29,-1.08994251
-28.86,-1.087936543
-28.76,-1.082306447
-29.04,-1.086962657
-28.1,-1.074034872
-28.26,-1.061150176
-27.66,-1.045879385
-27.41,-1.028560244
-27.09,-1.011614962
-26.67,-0.993515835
-26.43,-0.978735081
-26.35,-0.953253658
-25.8,-0.943734584
-25.7,-0.930862477
-25.28,-0.91428571
-25.2,-0.892062623
-24.76,-0.871222711
-24.7,-0.864176736
-24.2,-0.843662868
-24.2,-0.83025516
-23.71,-0.80322152
-23.62,-0.793577664
-23.27,-0.787217234
-23.02,-0.764634787
-22.9,-0.744636978
-22.47,-0.734177145
-22.21,-0.712096517
-22.16,-0.696908011
-21.55,-0.685025547
-21.73,-0.661947119
-21.19,-0.653087678
-21.03,-0.635946989
-20.82,-0.617145804
-20.39,-0.608066471
-20.46,-0.59453234
-20.1,-0.57833642
-19.93,-0.559989909
-19.11,-0.549953493
-18.89,-0.526344601
-19.07,-0.507825044
-18.62,-0.48770826
-18.46,-0.465669779
-17.96,-0.458584404
-17.77,-0.443992194
-17.34,-0.422766537
-16.87,-0.419488132
-16.5,-0.387251937
-16.1,-0.386227561
-15.57,-0.360527744
-15.07,-0.349368594
-14.66,-0.33333395
-13.97,-0.315318697
-13.65,-0.302028603
-13.06,-0.289988225
-12.41,-0.275757208
-11.92,-0.25327191
-11.35,-0.241060471
-10.61,-0.225476231
-10.15,-0.212480731
-9.561,-0.197054928
-8.901,-0.184926315
-8.277,-0.176356844
-7.622,-0.159743798
-6.971,-0.143366109
-6.188,-0.128838363
-5.491,-0.116607202
-4.924,-0.102563742
-4.142,-0.088470334
-3.505,-0.072080208
-2.892,-0.065829332
-2.244,-0.058508065
-1.768,-0.044227613
-1.141,-0.033649295
-0.6109,-0.015484355
-0.1169,-0.007275849
0.4742,-0.001345374
0.8237,0.007390554
1.103,0.013575779
1.485,0.010794376
1.897,0.030955097
2.575,0.04043871
3.04,0.050881748
3.56,0.056604716
4.293,0.065872878
4.86,0.082763055
5.552,0.092366959
6.166,0.105292946
6.816,0.122436693
7.506,0.127362556
8.13,0.137500709
8.818,0.150264018
9.431,0.173516628
10.13,0.181584079
10.87,0.194034082
11.48,0.205085139
12.14,0.227762808
