image_names,cumulative deformation(mm),degraded strength(KN),times(s)
LS05_to_LS06_RS3_0012,3.446749728,53.02,142
LS05_to_LS06_RS3_0013,3.470476346,53.02,143
LS05_to_LS06_RS3_0014,3.4925576649999996,53.02,144
LS05_to_LS06_RS3_0015,3.518732514,53.02,145
LS05_to_LS06_RS3_0016,3.5408696859999997,53.02,146
LS05_to_LS06_RS3_0017,3.5554789419999997,53.02,147
LS05_to_LS06_RS3_0018,3.5738381599999998,53.02,148
LS05_to_LS06_RS3_0019,3.594980266,53.02,149
LS05_to_LS06_RS3_0020,3.620151587,53.02,150
LS05_to_LS06_RS3_0021,3.640723854,53.02,151
LS05_to_LS06_RS3_0022,3.672321875,53.02,152
LS05_to_LS06_RS3_0023,3.698871319,53.02,153
LS05_to_LS06_RS3_0024,3.713858436,53.02,154
LS05_to_LS06_RS3_0025,3.7462878080000004,53.02,155
LS05_to_LS06_RS3_0026,3.775903056,53.02,156
LS05_to_LS06_RS3_0027,3.8121801140000002,53.02,157
LS05_to_LS06_RS3_0028,3.84158999,53.02,158
LS05_to_LS06_RS3_0029,3.874718776,53.02,159
LS05_to_LS06_RS3_0030,3.905487294,53.02,160
LS05_to_LS06_RS3_0031,3.9311947459999996,53.02,161
LS05_to_LS06_RS3_0032,3.9641888499999998,53.02,162
LS05_to_LS06_RS3_0033,4.000076235,53.02,163
LS05_to_LS06_RS3_0034,4.034761258,53.02,164
LS05_to_LS06_RS3_0035,4.063904388999999,53.02,165
LS05_to_LS06_RS3_0036,4.097653971999999,53.02,166
LS05_to_LS06_RS3_0037,4.131831627999999,53.02,167
LS05_to_LS06_RS3_0038,4.169261248999999,53.02,168
LS05_to_LS06_RS3_0039,4.205612159999999,53.02,169
LS05_to_LS06_RS3_0040,4.245400767,53.02,170
LS05_to_LS06_RS3_0041,4.287222491,53.02,171
LS05_to_LS06_RS3_0042,4.324726386,53.02,172
LS05_to_LS06_RS3_0043,4.364709263,53.02,173
LS05_to_LS06_RS3_0044,4.414291816,53.02,174
LS05_to_LS06_RS3_0045,4.4228845240000005,53.02,175
LS06_to_LS07_RS3_0000,4.447882284,53.02,175
LS06_to_LS07_RS3_0001,4.460615731000001,53.02,176
LS06_to_LS07_RS3_0002,4.497479284000001,53.02,177
LS06_to_LS07_RS3_0003,4.5328847340000005,53.02,178
LS06_to_LS07_RS3_0004,4.560423341000001,53.02,179
LS06_to_LS07_RS3_0005,4.594841199000001,53.02,180
LS06_to_LS07_RS3_0006,4.625733188000001,53.02,181
LS06_to_LS07_RS3_0007,4.655667360000001,53.02,182
LS06_to_LS07_RS3_0008,4.68444394,53.02,183
LS06_to_LS07_RS3_0009,4.715358311,53.02,184
LS06_to_LS07_RS3_0010,4.746442433,53.02,185
LS06_to_LS07_RS3_0011,4.7813933550000005,53.02,186
LS06_to_LS07_RS3_0012,4.808046001000001,53.02,187
LS06_to_LS07_RS3_0013,4.836579071000001,53.02,188
LS06_to_LS07_RS3_0014,4.865517614000001,53.02,189
LS06_to_LS07_RS3_0015,4.896769589000001,53.02,190
LS06_to_LS07_RS3_0016,4.926345088000001,53.02,191
LS06_to_LS07_RS3_0017,4.9554293540000005,53.02,192
LS06_to_LS07_RS3_0018,4.986878793000001,53.02,193
LS06_to_LS07_RS3_0019,5.007688474000001,53.02,194
LS06_to_LS07_RS3_0020,5.031602393000001,53.02,195
LS06_to_LS07_RS3_0021,5.055548293000001,53.02,196
LS06_to_LS07_RS3_0022,5.081882758000001,53.02,197
LS06_to_LS07_RS3_0023,5.100486068,53.02,198
LS06_to_LS07_RS3_0024,5.126821122,53.02,199
LS06_to_LS07_RS3_0025,5.154652433,53.02,200
LS06_to_LS07_RS3_0026,5.172447504,53.02,201
LS06_to_LS07_RS3_0027,5.202386951,53.02,202
LS06_to_LS07_RS3_0028,5.227370657000001,53.02,203
LS06_to_LS07_RS3_0029,5.258845791000001,53.02,204
LS06_to_LS07_RS3_0030,5.284164113000001,53.02,205
LS06_to_LS07_RS3_0031,5.312897446000001,53.02,206
