load_step_names,image_names,Fh [kN],u [mm],Fv_total [kN],Fv_s [kN],Fv_n [kN],lv1 [mm],lv2 [mm],lv3 [mm],lv4 [mm],lv5 [mm],lv6 [mm],lv7 [mm],lv8 [mm],lv9 [mm],lv10 [mm],lv11 [mm],lv12 [mm],lv13 [mm],lv14 [mm]
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0062,0.2529,NaN,-21.68,-10.82,-10.86,-0.1536,-0.05906,-0.00563,-0.1055,0.00033,-0.00016,0,-0.00022,0.00069,-0.00187,0,0.00039,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0063,0.07448,NaN,-15.622,-7.842,-7.78,-0.1537,-0.05916,0.01364,-0.08939,0.0003,0,0,-0.00011,0.00192,-0.00173,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0064,0.1974,NaN,-10.618,-5.341,-5.277,-0.1529,-0.05931,0.0241,-0.06571,0,0,0,-0.00012,0.00221,-0.00142,0,0.00023,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0065,0.3641,NaN,-10.11,-5.214,-4.896,-0.1527,-0.05929,0.03093,-0.06442,-0.00019,0,0,0,0.00242,-0.00118,0,0.0002,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0066,0.1393,NaN,-10.192,-5.239,-4.953,-0.152,-0.05923,0.03268,-0.06699,-0.00023,0,0,0,0.00246,-0.00119,0,0.00018,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0067,0.2815,NaN,-10.182,-5.024,-5.158,-0.152,-0.05929,0.0305,-0.0571,-0.00023,0,0,0,0.00241,-0.00114,0,0.00016,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0068,-0.07552,NaN,-10.289,-5.063,-5.226,-0.1517,-0.05918,0.03264,-0.06431,-0.00023,0,0,0,0.00248,-0.00118,0,0.00015,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0069,-0.00755,NaN,-12.033,-5.851,-6.182,-0.1516,-0.05918,0.02729,-0.06379,-0.00024,0,0,0,0.00236,-0.00118,0,0.00014,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0070,0.3177,NaN,-16.762,-8.349,-8.413,-0.1516,-0.05918,0.01486,-0.08066,-0.00016,0,0,0,0.00192,-0.00113,0,0.00019,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0071,-0.0401,NaN,-22.13,-11.03,-11.1,-0.1516,-0.05921,0.00919,-0.1059,0,-0.00012,0,0,0.00161,-0.00125,0,0.00025,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0072,-0.1542,NaN,-28.69,-14.3,-14.39,-0.1518,-0.05911,-0.0094,-0.1285,0.00029,-0.0002,0,0,0.00029,-0.00181,0,0.00029,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0073,0.2878,NaN,-31.97,-15.97,-16,-0.1518,-0.05916,-0.03037,-0.1282,0.0006,-0.0004,0.00015,-0.00039,-0.00086,-0.00224,0,0.00033,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0074,0.2466,NaN,-37.9,-19.01,-18.89,-0.1521,-0.05936,-0.05911,-0.152,0.00127,-0.00066,0.00041,-0.00075,-0.00189,-0.00276,0,0.00059,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0075,0.1216,NaN,-41.94,-20.94,-21,-0.152,-0.05926,-0.08782,-0.163,0.00187,-0.00081,0.00066,-0.00124,-0.00276,-0.00313,0,0.00096,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0076,0.1552,NaN,-46.83,-23.45,-23.38,-0.1523,-0.05915,-0.1173,-0.1824,0.0024,-0.00112,0.00089,-0.00193,-0.00361,-0.00359,0.00013,0.00139,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0077,0.2583,NaN,-52.88,-26.52,-26.36,-0.1526,-0.05901,-0.16,-0.2024,0.00332,-0.00148,0.00127,-0.00321,-0.00461,-0.0043,0.00023,0.00188,0.00011,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0078,0.06719,NaN,-56.36,-28.12,-28.24,-0.153,-0.05877,-0.1864,-0.2161,0.00395,-0.00172,0.00148,-0.00425,-0.00461,-0.00483,0.00025,0.00203,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0079,0.06953,NaN,-56.11,-27.98,-28.13,-0.1243,-0.05176,-0.1946,-0.2187,0.00424,-0.00177,0.00163,-0.00461,-0.00445,-0.00509,0.00032,0.00217,0.00012,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0080,0.2268,NaN,-53.93,-26.99,-26.94,-0.1243,-0.0518,-0.1969,-0.2176,0.00429,-0.00176,0.00163,-0.00472,-0.00405,-0.00512,0.00033,0.00223,0.00014,0
