image_names,cumulative deformation(mm),damage_index,times(s)
LS21_to_LS22_RS3_0032,74.2358596770001,3.9917026725458524,1293
LS21_to_LS22_RS3_0033,74.36571285600009,3.9971681426907635,1294
LS21_to_LS22_RS3_0034,74.50667593900009,4.0031157512794415,1295
LS21_to_LS22_RS3_0035,74.64674376600009,4.009040271003419,1296
LS21_to_LS22_RS3_0036,74.78794319900008,4.015027164771007,1297
LS21_to_LS22_RS3_0037,74.93328559900009,4.021204613495513,1298
LS21_to_LS22_RS3_0038,75.07672491700009,4.027315663465007,1299
LS21_to_LS22_RS3_0039,75.21658128200009,4.033287614043403,1300
LS21_to_LS22_RS3_0040,75.3541643680001,4.039175253591882,1301
LS21_to_LS22_RS3_0041,75.4960533720001,4.0452601098622765,1302
LS21_to_LS22_RS3_0042,75.63227692000011,4.051114092713685,1303
LS21_to_LS22_RS3_0043,75.7708326970001,4.0570801573496915,1304
LS21_to_LS22_RS3_0044,75.9211975270001,4.063567901769024,1305
LS21_to_LS22_RS3_0045,76.0569658940001,4.069437355277444,1306
LS21_to_LS22_RS3_0046,76.1968480680001,4.075495767553885,1307
LS21_to_LS22_RS3_0047,76.34339369100009,4.081854554227495,1308
LS21_to_LS22_RS3_0048,76.48626773100008,4.088065302993625,1309
LS21_to_LS22_RS3_0049,76.62346812400008,4.0940395980161295,1310
LS21_to_LS22_RS3_0050,76.77635880500009,4.100708515964644,1311
LS21_to_LS22_RS3_0051,76.92110892300009,4.107033084675437,1312
LS21_to_LS22_RS3_0052,77.0662287630001,4.113383947667563,1313
LS21_to_LS22_RS3_0053,77.2137294390001,4.11984906313014,1314
LS21_to_LS22_RS3_0054,77.3738414580001,4.126878021098686,1315
LS21_to_LS22_RS3_0055,77.5188931100001,4.133255412213732,1316
LS21_to_LS22_RS3_0056,77.67600048700011,4.140172731297913,1317
LS21_to_LS22_RS3_0057,77.83051586700012,4.146985549227745,1318
LS21_to_LS22_RS3_0058,77.98890062000012,4.153978453210627,1319
LS21_to_LS22_RS3_0059,78.14303984900012,4.160792715896877,1320
LS22_to_LS23_RS3_0000,78.16570000200012,4.16179519482502,1320
LS22_to_LS23_RS3_0001,78.22672164800012,4.164495655621465,1321
LS22_to_LS23_RS3_0002,78.35880914200013,4.17034537016964,1322
LS22_to_LS23_RS3_0003,78.50067157900013,4.176634291638182,1323
LS22_to_LS23_RS3_0004,78.63197583400013,4.182460713362187,1324
LS22_to_LS23_RS3_0005,78.77093858600013,4.188632504946782,1325
LS22_to_LS23_RS3_0006,78.91287267600013,4.19494184072292,1326
LS22_to_LS23_RS3_0007,79.05263419500014,4.20115980594662,1327
LS22_to_LS23_RS3_0008,79.19219187700014,4.207373557686992,1328
LS22_to_LS23_RS3_0009,79.32988988300013,4.213508973099497,1329
LS22_to_LS23_RS3_0010,79.46867136300014,4.219696861611901,1330
LS22_to_LS23_RS3_0011,79.60950425600014,4.225980224661856,1331
LS22_to_LS23_RS3_0012,79.74573639400013,4.232061877009171,1332
