image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS05_to_LS06_RS3_0023,3.698871319,60.51864791489329,153
LS05_to_LS06_RS3_0024,3.713858436,60.455992452129244,154
LS05_to_LS06_RS3_0025,3.7462878080000004,60.32041752402216,155
LS05_to_LS06_RS3_0026,3.775903056,60.196607383064965,156
LS05_to_LS06_RS3_0027,3.8121801140000002,60.04494673634364,157
LS05_to_LS06_RS3_0028,3.84158999,59.921995177974324,158
LS05_to_LS06_RS3_0029,3.874718776,59.78349626469827,159
LS05_to_LS06_RS3_0030,3.905487294,59.654864738444495,160
LS05_to_LS06_RS3_0031,3.9311947459999996,59.54739161325674,161
LS05_to_LS06_RS3_0032,3.9641888499999998,59.409455754438454,162
LS05_to_LS06_RS3_0033,4.000076235,59.25942418301838,163
LS05_to_LS06_RS3_0034,4.034761258,59.11441923196298,164
LS05_to_LS06_RS3_0035,4.063904388999999,58.99258283346164,165
LS05_to_LS06_RS3_0036,4.097653971999999,58.85148860293294,166
LS05_to_LS06_RS3_0037,4.131831627999999,58.70860476123941,167
LS05_to_LS06_RS3_0038,4.169261248999999,58.55212568492087,168
LS05_to_LS06_RS3_0039,4.205612159999999,58.40015628676379,169
LS05_to_LS06_RS3_0040,4.245400767,58.23381518297967,170
LS05_to_LS06_RS3_0041,4.287222491,58.05897438666038,171
LS05_to_LS06_RS3_0042,4.324726386,57.90218479886446,172
LS05_to_LS06_RS3_0043,4.364709263,57.735031525751765,173
LS05_to_LS06_RS3_0044,4.414291816,57.527745641265916,174
LS05_to_LS06_RS3_0045,4.4228845240000005,57.49182278191035,175
LS06_to_LS07_RS3_0000,4.447882284,57.387316610318805,175
LS06_to_LS07_RS3_0001,4.460615731000001,57.334082888691995,176
LS06_to_LS07_RS3_0002,4.497479284000001,57.17997032839491,177
LS06_to_LS07_RS3_0003,4.5328847340000005,57.03195354477206,178
LS06_to_LS07_RS3_0004,4.560423341000001,56.91682505371789,179
LS06_to_LS07_RS3_0005,4.594841199000001,56.77293701839147,180
LS06_to_LS07_RS3_0006,4.625733188000001,56.64378930662697,181
LS06_to_LS07_RS3_0007,4.655667360000001,56.5186458651553,182
LS06_to_LS07_RS3_0008,4.68444394,56.3983418776261,183
LS06_to_LS07_RS3_0009,4.715358311,56.26910059519237,184
LS06_to_LS07_RS3_0010,4.746442433,56.139149648087326,185
LS06_to_LS07_RS3_0011,4.7813933550000005,55.99303307396969,186
LS06_to_LS07_RS3_0012,4.808046001000001,55.881608450473635,187
LS06_to_LS07_RS3_0013,4.836579071000001,55.76232248607308,188
LS06_to_LS07_RS3_0014,4.865517614000001,55.641341392552405,189
LS06_to_LS07_RS3_0015,4.896769589000001,55.51068871559556,190
LS06_to_LS07_RS3_0016,4.926345088000001,55.38704475016028,191
LS06_to_LS07_RS3_0017,4.9554293540000005,55.265454443940435,192
LS06_to_LS07_RS3_0018,4.986878793000001,55.13397624475011,193
LS06_to_LS07_RS3_0019,5.007688474000001,55.04697884604913,194
LS06_to_LS07_RS3_0020,5.031602393000001,54.947003803387695,195
LS06_to_LS07_RS3_0021,5.055548293000001,54.84689506027175,196
LS06_to_LS07_RS3_0022,5.081882758000001,54.736800631088435,197
LS06_to_LS07_RS3_0023,5.100486068,54.659027234310855,198
LS06_to_LS07_RS3_0024,5.126821122,54.54893034274151,199
LS06_to_LS07_RS3_0025,5.154652433,54.43257816706722,200
LS06_to_LS07_RS3_0026,5.172447504,54.358183711587614,201
LS06_to_LS07_RS3_0027,5.202386951,54.23301821733781,202
LS06_to_LS07_RS3_0028,5.227370657000001,54.12857080020008,203
LS06_to_LS07_RS3_0029,5.258845791000001,53.996985179941674,204
LS06_to_LS07_RS3_0030,5.284164113000001,53.89113885997772,205
LS06_to_LS07_RS3_0031,5.312897446000001,53.771015671784255,206
LS06_to_LS07_RS3_0032,5.340248472000001,53.65667138588181,207
LS06_to_LS07_RS3_0033,5.370322673,53.53094253616949,208
LS06_to_LS07_RS3_0034,5.4008388400000005,53.40336599391857,209
LS06_to_LS07_RS3_0035,5.430657469000001,53.278705593990786,210
LS06_to_LS07_RS3_0036,5.466639278000001,53.128279271571174,211
LS06_to_LS07_RS3_0037,5.496165747000001,53.004840282005446,212
LS06_to_LS07_RS3_0038,5.528782235000001,52.868483092735616,213
LS06_to_LS07_RS3_0039,5.562771738000001,52.72638584750927,214
LS06_to_LS07_RS3_0040,5.5930527790000015,52.59979227805678,215
LS06_to_LS07_RS3_0041,5.630308609000002,52.4440397561202,216
LS06_to_LS07_RS3_0042,5.662900381000002,52.30778589509006,217
LS06_to_LS07_RS3_0043,5.693448690000002,52.180074979304585,218
LS06_to_LS07_RS3_0044,5.725496976000002,52.04609322750238,219
LS06_to_LS07_RS3_0045,5.762356814000002,51.891996198213974,220
LS06_to_LS07_RS3_0046,5.7946639970000025,51.75693209606092,221
LS06_to_LS07_RS3_0047,5.836151739000003,51.58348755205387,222
LS06_to_LS07_RS3_0048,5.874856056000002,51.42167945429888,223
LS06_to_LS07_RS3_0049,5.919684606000002,51.23426825671557,224
LS06_to_LS07_RS3_0050,5.959822834000002,51.06646551988041,225
LS06_to_LS07_RS3_0051,6.003358921000002,50.884457620834795,226
LS06_to_LS07_RS3_0052,6.0483356220000015,50.696427060003444,227
LS06_to_LS07_RS3_0053,6.082867295000002,50.55206320724699,228
LS06_to_LS07_RS3_0054,6.115873489000002,50.41407680471541,229
LS06_to_LS07_RS3_0055,6.119959532000002,50.39699460571484,230
LS07_to_LS08_RS3_0001,6.148510206000002,50.27763504565432,231
LS07_to_LS08_RS3_0002,6.181093714000002,50.14141573327983,232
LS07_to_LS08_RS3_0003,6.213166917000002,50.00732981293302,233
LS07_to_LS08_RS3_0004,6.2373843140000025,49.906086043635995,234
LS07_to_LS08_RS3_0005,6.275463609000003,49.74689092625927,235
LS07_to_LS08_RS3_0006,6.303162488000003,49.6310923986445,236
LS07_to_LS08_RS3_0007,6.331584310000003,49.512271520018714,237
LS07_to_LS08_RS3_0008,6.364553229000003,49.37444095015158,238
LS07_to_LS08_RS3_0009,6.391128822000002,49.263338456079914,239
LS07_to_LS08_RS3_0010,6.427994682000002,49.10921625108915,240
LS07_to_LS08_RS3_0011,6.455626502000002,48.99369807176801,241
LS07_to_LS08_RS3_0012,6.491102755000002,48.84538528760483,242
LS07_to_LS08_RS3_0013,6.507107452000001,48.7784757080684,243
LS07_to_LS08_RS3_0014,6.550391160000001,48.59752291008304,244
LS07_to_LS08_RS3_0015,6.578268751000001,48.48097725524817,245
LS07_to_LS08_RS3_0016,6.602815514000001,48.37835653138751,246
LS07_to_LS08_RS3_0017,6.637040759000001,48.23527373809992,247
LS07_to_LS08_RS3_0018,6.662909514000002,48.127126266130844,248
LS07_to_LS08_RS3_0019,6.690957253000001,48.009869286917954,249
LS07_to_LS08_RS3_0020,6.716294658000002,47.903943188154926,250
LS07_to_LS08_RS3_0021,6.740404998000002,47.803146983648176,251
LS07_to_LS08_RS3_0022,6.771057330000001,47.67500118707788,252
LS07_to_LS08_RS3_0023,6.795925307000002,47.57103758907964,253
LS07_to_LS08_RS3_0024,6.824792993000002,47.56578691615191,254
LS07_to_LS08_RS3_0025,6.849950553000002,47.56121106898426,255
LS07_to_LS08_RS3_0026,6.866867932000002,47.55813400822076,256
LS07_to_LS08_RS3_0027,6.883500013000002,47.55510883961395,257
LS07_to_LS08_RS3_0028,6.915231243000002,47.549337323659245,258
LS07_to_LS08_RS3_0029,6.937355914000002,47.54531312126718,259
LS07_to_LS08_RS3_0030,6.969294318000002,47.53950392293941,260
LS07_to_LS08_RS3_0031,6.996297919000002,47.534592303881276,261
LS07_to_LS08_RS3_0032,7.023204081000002,47.529698407764954,262
LS07_to_LS08_RS3_0033,7.056754361000002,47.52359602924685,263
LS07_to_LS08_RS3_0034,7.086610812000002,47.51816551226729,264
LS07_to_LS08_RS3_0035,7.1144292820000015,47.5131056786762,265
LS07_to_LS08_RS3_0036,7.152492303000002,47.506182488715204,266
LS07_to_LS08_RS3_0037,7.191174887000002,47.499146607952774,267
LS07_to_LS08_RS3_0038,7.225433839000002,47.49291533081477,268
LS07_to_LS08_RS3_0039,7.254941968000002,47.487548169273374,269
LS07_to_LS08_RS3_0040,7.288239197000002,47.48149181758385,270
LS07_to_LS08_RS3_0041,7.324589229000002,47.47488019900991,271
LS07_to_LS08_RS3_0042,7.357396928000002,47.46891288673692,272
LS07_to_LS08_RS3_0043,7.396561335000002,47.461789368365366,273
LS07_to_LS08_RS3_0044,7.422267710000002,47.45711369857727,274
LS07_to_LS08_RS3_0045,7.454421316000001,47.45126535768312,275
LS07_to_LS08_RS3_0046,7.494052157000001,47.44405700077007,276
LS07_to_LS08_RS3_0047,7.524891548000001,47.4384476992337,277
LS07_to_LS08_RS3_0048,7.563977679000001,47.43133841829267,278
LS07_to_LS08_RS3_0049,7.602071826,47.424409566899534,279
LS07_to_LS08_RS3_0050,7.634253217,47.41855617225957,280
LS07_to_LS08_RS3_0051,7.683206404,47.40965219659256,281
LS07_to_LS08_RS3_0052,7.718276605,47.40327336335457,282
LS07_to_LS08_RS3_0053,7.7504756829999994,47.39741675166936,283
LS07_to_LS08_RS3_0054,7.791199829999999,47.390009535997216,284
LS07_to_LS08_RS3_0055,7.810435662999999,47.38651077729604,285
LS08_to_LS09_RS3_0001,7.824314262999999,47.38398643262585,286
LS08_to_LS09_RS3_0002,7.826094967999999,47.38366254454089,287
LS08_to_LS09_RS3_0003,7.837075940999998,47.381665242171344,288
LS08_to_LS09_RS3_0004,7.871321137999998,47.37543646689671,289
LS08_to_LS09_RS3_0005,7.899474616999998,47.370315699336516,290
LS08_to_LS09_RS3_0006,7.928369343999998,47.36506010798731,291
