image_names,u [mm],Fh [kN]
LS17_to_LS18_RS3_0048,1.06398243,35.42
LS17_to_LS18_RS3_0049,1.159563036,36.47
LS17_to_LS18_RS3_0050,1.247044049,37.5
LS17_to_LS18_RS3_0051,1.335569713,38.52
LS17_to_LS18_RS3_0052,1.426640998,39.53
LS17_to_LS18_RS3_0053,1.51528795,40.51
LS17_to_LS18_RS3_0054,1.615285452,41.5
LS17_to_LS18_RS3_0055,1.703077775,42.48
LS17_to_LS18_RS3_0056,1.795939468,43.45
LS17_to_LS18_RS3_0057,1.878172915,44.39
LS17_to_LS18_RS3_0058,1.973127935,45.32
LS17_to_LS18_RS3_0059,2.065149358,46.19
LS17_to_LS18_RS3_0060,2.153305613,47.02
LS17_to_LS18_RS3_0061,2.25899162,47.81
LS17_to_LS18_RS3_0062,2.347236001,48.56
LS17_to_LS18_RS3_0063,2.452441851,49.24
LS17_to_LS18_RS3_0064,2.54408206,49.85
LS17_to_LS18_RS3_0065,2.649463953,50.44
LS17_to_LS18_RS3_0066,2.743506189,50.92
LS17_to_LS18_RS3_0067,2.827941523,51.33
LS17_to_LS18_RS3_0068,2.938250185,51.69
LS17_to_LS18_RS3_0069,3.03229722,51.99
LS17_to_LS18_RS3_0070,3.127351745,52.33
LS17_to_LS18_RS3_0071,3.229682946,52.61
LS17_to_LS18_RS3_0072,3.330039217,52.86
LS17_to_LS18_RS3_0073,3.402441677,52.63
LS18_to_LS19_RS3_0000,3.42990601,49.48
LS18_to_LS19_RS3_0001,3.425544076,48.64
LS18_to_LS19_RS3_0002,3.332165057,45.91
LS18_to_LS19_RS3_0003,3.245861108,43.64
LS18_to_LS19_RS3_0004,3.159887256,41.68
LS18_to_LS19_RS3_0005,3.076232568,39.91
LS18_to_LS19_RS3_0006,2.988657052,38.23
LS18_to_LS19_RS3_0007,2.89895075,36.64
LS18_to_LS19_RS3_0008,2.808905839,35.11
LS18_to_LS19_RS3_0009,2.717926778,33.62
LS18_to_LS19_RS3_0010,2.636019366,32.15
LS18_to_LS19_RS3_0011,2.539521657,30.69
LS18_to_LS19_RS3_0012,2.457780639,29.22
LS18_to_LS19_RS3_0013,2.364080926,27.75
LS18_to_LS19_RS3_0014,2.27633184,26.3
LS18_to_LS19_RS3_0015,2.183030974,24.83
LS18_to_LS19_RS3_0016,2.100793606,23.36
LS18_to_LS19_RS3_0017,2.011748537,21.88
LS18_to_LS19_RS3_0018,1.926579892,20.39
LS18_to_LS19_RS3_0019,1.839486508,18.87
LS18_to_LS19_RS3_0020,1.759924583,17.34
LS18_to_LS19_RS3_0021,1.672931724,15.83
LS18_to_LS19_RS3_0022,1.585512044,14.34
LS18_to_LS19_RS3_0023,1.505216117,12.85
LS18_to_LS19_RS3_0024,1.425154253,11.37
LS18_to_LS19_RS3_0025,1.342305506,9.902
LS18_to_LS19_RS3_0026,1.266531798,8.424
LS18_to_LS19_RS3_0027,1.189995206,6.926
LS18_to_LS19_RS3_0028,1.102896207,5.377
LS18_to_LS19_RS3_0029,1.022061264,3.785
LS18_to_LS19_RS3_0030,0.941036612,2.213
LS18_to_LS19_RS3_0031,0.871462012,0.8393
LS18_to_LS19_RS3_0032,0.802520886,-0.5487
LS18_to_LS19_RS3_0033,0.735096925,-1.868
LS18_to_LS19_RS3_0034,0.679497364,-3.135
LS18_to_LS19_RS3_0035,0.597002936,-4.617
LS18_to_LS19_RS3_0036,0.528373391,-6.12
LS18_to_LS19_RS3_0037,0.445394986,-7.638
LS18_to_LS19_RS3_0038,0.376945644,-9.175
LS18_to_LS19_RS3_0039,0.301032115,-10.75
LS18_to_LS19_RS3_0040,0.213444756,-12.31
LS18_to_LS19_RS3_0041,0.136698394,-13.86
LS18_to_LS19_RS3_0042,0.049324246,-15.4
LS18_to_LS19_RS3_0043,-0.029746946,-16.89
LS18_to_LS19_RS3_0044,-0.107881991,-18.37
LS18_to_LS19_RS3_0045,-0.192750865,-19.82
LS18_to_LS19_RS3_0046,-0.281489258,-21.22
LS18_to_LS19_RS3_0047,-0.367174759,-22.61
LS18_to_LS19_RS3_0048,-0.448992816,-23.95
LS18_to_LS19_RS3_0049,-0.536020512,-25.24
LS18_to_LS19_RS3_0050,-0.627116008,-26.51
LS18_to_LS19_RS3_0051,-0.712907444,-27.74
LS18_to_LS19_RS3_0052,-0.808805958,-28.93
LS18_to_LS19_RS3_0053,-0.893854232,-30.08
LS18_to_LS19_RS3_0054,-0.985552218,-31.21
LS18_to_LS19_RS3_0055,-1.070340587,-32.32
LS18_to_LS19_RS3_0056,-1.169006693,-33.42
LS18_to_LS19_RS3_0057,-1.260825946,-34.49
LS18_to_LS19_RS3_0058,-1.353599905,-35.57
LS18_to_LS19_RS3_0059,-1.444492011,-36.6
LS18_to_LS19_RS3_0060,-1.533061523,-37.62
LS18_to_LS19_RS3_0061,-1.631088796,-38.63
LS18_to_LS19_RS3_0062,-1.723069671,-39.62
LS18_to_LS19_RS3_0063,-1.816983938,-40.59
LS18_to_LS19_RS3_0064,-1.912062691,-41.52
LS18_to_LS19_RS3_0065,-2.005141394,-42.43
LS18_to_LS19_RS3_0066,-2.110677586,-43.3
LS18_to_LS19_RS3_0067,-2.199968796,-44.12
LS18_to_LS19_RS3_0068,-2.29372366,-44.91
LS18_to_LS19_RS3_0069,-2.39369944,-45.66
LS18_to_LS19_RS3_0070,-2.489419859,-46.31
LS18_to_LS19_RS3_0071,-2.594789077,-46.89
LS18_to_LS19_RS3_0072,-2.701039997,-47.41
LS18_to_LS19_RS3_0073,-2.796163996,-47.84
LS18_to_LS19_RS3_0074,-2.905607648,-48.23
LS18_to_LS19_RS3_0075,-3.010228075,-48.52
LS18_to_LS19_RS3_0076,-3.11405138,-48.78
LS18_to_LS19_RS3_0077,-3.221194616,-49
LS18_to_LS19_RS3_0078,-3.331355714,-49.17
LS18_to_LS19_RS3_0079,-3.444936976,-49.32
LS18_to_LS19_RS3_0080,-3.540596326,-49.44
LS19_to_LS20_RS3_0001,-3.597832966,-45.65
LS19_to_LS20_RS3_0002,-3.521730923,-43.2
LS19_to_LS20_RS3_0003,-3.438630135,-40.41
LS19_to_LS20_RS3_0004,-3.346108348,-38.1
LS19_to_LS20_RS3_0005,-3.258693728,-35.99
LS19_to_LS20_RS3_0006,-3.162165367,-34
LS19_to_LS20_RS3_0007,-3.079226117,-32.11
LS19_to_LS20_RS3_0008,-2.99219567,-30.25
LS19_to_LS20_RS3_0009,-2.909918532,-28.41
LS19_to_LS20_RS3_0010,-2.816170116,-26.55
LS19_to_LS20_RS3_0011,-2.731316592,-24.73
LS19_to_LS20_RS3_0012,-2.643164003,-22.92
LS19_to_LS20_RS3_0013,-2.560797692,-21.13
LS19_to_LS20_RS3_0014,-2.476322671,-19.36
LS19_to_LS20_RS3_0015,-2.392658095,-17.56
LS19_to_LS20_RS3_0016,-2.303677088,-15.79
LS19_to_LS20_RS3_0017,-2.224529919,-14.09
LS19_to_LS20_RS3_0018,-2.145377861,-12.49
LS19_to_LS20_RS3_0019,-2.057299391,-10.8
LS19_to_LS20_RS3_0020,-1.976191305,-9.109
LS19_to_LS20_RS3_0021,-1.894822303,-7.45
LS19_to_LS20_RS3_0022,-1.808930197,-5.865
LS19_to_LS20_RS3_0023,-1.731297074,-4.302
LS19_to_LS20_RS3_0024,-1.658767638,-2.745
LS19_to_LS20_RS3_0025,-1.577033211,-1.227
LS19_to_LS20_RS3_0026,-1.502542497,0.2273
LS19_to_LS20_RS3_0027,-1.43071588,1.554
LS19_to_LS20_RS3_0028,-1.373398484,2.724
LS19_to_LS20_RS3_0029,-1.297288701,4.116
LS19_to_LS20_RS3_0030,-1.228162208,5.532
LS19_to_LS20_RS3_0031,-1.145592017,6.947
LS19_to_LS20_RS3_0032,-1.074202482,8.376
LS19_to_LS20_RS3_0033,-0.985415555,9.788
LS19_to_LS20_RS3_0034,-0.899006175,11.23
LS19_to_LS20_RS3_0035,-0.821977433,12.67
LS19_to_LS20_RS3_0036,-0.736861361,14.09
LS19_to_LS20_RS3_0037,-0.649613896,15.48
LS19_to_LS20_RS3_0038,-0.555184029,16.82
LS19_to_LS20_RS3_0039,-0.472316319,18.12
LS19_to_LS20_RS3_0040,-0.386400107,19.37
LS19_to_LS20_RS3_0041,-0.289180629,20.59
LS19_to_LS20_RS3_0042,-0.205203796,21.77
LS19_to_LS20_RS3_0043,-0.106539971,22.91
LS19_to_LS20_RS3_0044,-0.020243723,24
LS19_to_LS20_RS3_0045,0.063881298,25.05
LS19_to_LS20_RS3_0046,0.161617774,26.1
LS19_to_LS20_RS3_0047,0.249205834,27.08
LS19_to_LS20_RS3_0048,0.346438591,28.08
LS19_to_LS20_RS3_0049,0.438142467,29.02
LS19_to_LS20_RS3_0050,0.52746114,29.91
LS19_to_LS20_RS3_0051,0.623817963,30.79
LS19_to_LS20_RS3_0052,0.713590246,31.63
LS19_to_LS20_RS3_0053,0.8111388,32.5
LS19_to_LS20_RS3_0054,0.904340372,33.32
LS19_to_LS20_RS3_0055,0.999560187,34.15
LS19_to_LS20_RS3_0056,1.088841306,34.95
LS19_to_LS20_RS3_0057,1.1877795,35.57
LS19_to_LS20_RS3_0058,1.27967649,36.37
LS19_to_LS20_RS3_0059,1.374344911,37.13
LS19_to_LS20_RS3_0060,1.471049982,37.89
LS19_to_LS20_RS3_0061,1.557738546,38.63
LS19_to_LS20_RS3_0062,1.650063707,39.39
LS19_to_LS20_RS3_0063,1.743482655,40.11
LS19_to_LS20_RS3_0064,1.843808003,40.82
LS19_to_LS20_RS3_0065,1.930365878,41.54
LS19_to_LS20_RS3_0066,2.025228001,42.25
LS19_to_LS20_RS3_0067,2.125768701,42.94
LS19_to_LS20_RS3_0068,2.208924888,43.61
LS19_to_LS20_RS3_0069,2.308514565,44.27
LS19_to_LS20_RS3_0070,2.401328598,44.91
LS19_to_LS20_RS3_0071,2.497169106,45.54
LS19_to_LS20_RS3_0072,2.591323348,46.16
LS19_to_LS20_RS3_0073,2.695143217,46.75
LS19_to_LS20_RS3_0074,2.785332659,47.28
LS19_to_LS20_RS3_0075,2.887926652,47.78
LS19_to_LS20_RS3_0076,2.985793034,48.26
LS19_to_LS20_RS3_0077,3.077666957,48.69
LS19_to_LS20_RS3_0078,3.171465917,49.09
LS19_to_LS20_RS3_0079,3.275164445,49.47
LS19_to_LS20_RS3_0080,3.372258188,49.84
LS20_to_LS21_RS3_0000,3.381652975,46.86
LS20_to_LS21_RS3_0001,3.364245655,44.78
LS20_to_LS21_RS3_0002,3.276959017,42.57
LS20_to_LS21_RS3_0003,3.187259745,40.65
LS20_to_LS21_RS3_0004,3.099812851,38.94
LS20_to_LS21_RS3_0005,3.010968987,37.39
LS20_to_LS21_RS3_0006,2.920458065,35.93
LS20_to_LS21_RS3_0007,2.833696704,34.53
LS20_to_LS21_RS3_0008,2.7433055,33.22
LS20_to_LS21_RS3_0009,2.649401677,31.92
LS20_to_LS21_RS3_0010,2.568712191,30.64
LS20_to_LS21_RS3_0011,2.470652772,29.33
LS20_to_LS21_RS3_0012,2.384072373,28.06
LS20_to_LS21_RS3_0013,2.284435076,26.77
LS20_to_LS21_RS3_0014,2.199795315,25.49
LS20_to_LS21_RS3_0015,2.111950576,24.22
LS20_to_LS21_RS3_0016,2.023854405,22.95
LS20_to_LS21_RS3_0017,1.933656447,21.62
LS20_to_LS21_RS3_0018,1.842547655,20.3
LS20_to_LS21_RS3_0019,1.753081541,18.96
LS20_to_LS21_RS3_0020,1.665160404,17.61
LS20_to_LS21_RS3_0021,1.576628172,16.27
LS20_to_LS21_RS3_0022,1.49012969,14.93
LS20_to_LS21_RS3_0023,1.405222853,13.6
LS20_to_LS21_RS3_0024,1.31158734,12.27
LS20_to_LS21_RS3_0025,1.231990515,10.96
LS20_to_LS21_RS3_0026,1.15219829,9.608
LS20_to_LS21_RS3_0027,1.075203437,8.296
LS20_to_LS21_RS3_0028,0.975786567,6.936
LS20_to_LS21_RS3_0029,0.903764338,5.543
LS20_to_LS21_RS3_0030,0.815760923,4.121
LS20_to_LS21_RS3_0031,0.73900309,2.727
LS20_to_LS21_RS3_0032,0.650670589,1.454
LS20_to_LS21_RS3_0033,0.574716515,0.1839
LS20_to_LS21_RS3_0034,0.500997723,-1.05
LS20_to_LS21_RS3_0035,0.435993534,-2.232
LS20_to_LS21_RS3_0036,0.36895931,-3.431
LS20_to_LS21_RS3_0037,0.297948336,-4.744
LS20_to_LS21_RS3_0038,0.214852245,-6.102
LS20_to_LS21_RS3_0039,0.138478432,-7.476
LS20_to_LS21_RS3_0040,0.061468036,-8.879
LS20_to_LS21_RS3_0041,-0.019371587,-10.27
LS20_to_LS21_RS3_0042,-0.10030892,-11.66
LS20_to_LS21_RS3_0043,-0.188855201,-13.04
LS20_to_LS21_RS3_0044,-0.272855561,-14.39
LS20_to_LS21_RS3_0045,-0.361625169,-15.71
LS20_to_LS21_RS3_0046,-0.441562508,-16.97
LS20_to_LS21_RS3_0047,-0.52738513,-18.25
LS20_to_LS21_RS3_0048,-0.620725848,-19.5
LS20_to_LS21_RS3_0049,-0.704211465,-20.72
LS20_to_LS21_RS3_0050,-0.797278405,-21.9
LS20_to_LS21_RS3_0051,-0.879543549,-23.08
LS20_to_LS21_RS3_0052,-0.961424978,-24.2
LS20_to_LS21_RS3_0053,-1.059289886,-25.3
LS20_to_LS21_RS3_0054,-1.14921163,-26.39
LS20_to_LS21_RS3_0055,-1.240159777,-27.47
LS20_to_LS21_RS3_0056,-1.327824734,-28.52
LS20_to_LS21_RS3_0057,-1.414205342,-29.54
LS20_to_LS21_RS3_0058,-1.512383636,-30.56
LS20_to_LS21_RS3_0059,-1.609249437,-31.54
LS20_to_LS21_RS3_0060,-1.708164381,-32.52
LS20_to_LS21_RS3_0061,-1.797477709,-33.47
LS20_to_LS21_RS3_0062,-1.889617636,-34.43
LS20_to_LS21_RS3_0063,-1.989552208,-35.35
LS20_to_LS21_RS3_0064,-2.085123979,-36.28
LS20_to_LS21_RS3_0065,-2.175982162,-37.15
LS20_to_LS21_RS3_0066,-2.268626885,-38.05
LS20_to_LS21_RS3_0067,-2.366876519,-38.88
LS20_to_LS21_RS3_0068,-2.468334163,-39.75
LS20_to_LS21_RS3_0069,-2.565900454,-40.55
LS20_to_LS21_RS3_0070,-2.658359187,-41.35
LS20_to_LS21_RS3_0071,-2.755216931,-42.12
LS20_to_LS21_RS3_0072,-2.853503413,-42.84
LS20_to_LS21_RS3_0073,-2.954059525,-43.53
LS20_to_LS21_RS3_0074,-3.054728535,-44.15
LS20_to_LS21_RS3_0075,-3.150764442,-44.74
LS20_to_LS21_RS3_0076,-3.253949144,-45.25
LS20_to_LS21_RS3_0077,-3.360383798,-45.73
LS20_to_LS21_RS3_0078,-3.460668327,-46.15
LS20_to_LS21_RS3_0079,-3.557377266,-45.8
LS21_to_LS22_RS3_0001,-3.560527224,-43.26
LS21_to_LS22_RS3_0002,-3.458547201,-39.74
LS21_to_LS22_RS3_0003,-3.328390956,-36.17
LS21_to_LS22_RS3_0004,-3.194419897,-33.1
LS21_to_LS22_RS3_0005,-3.070897625,-30.29
LS21_to_LS22_RS3_0006,-2.934567597,-27.6
LS21_to_LS22_RS3_0007,-2.802064704,-24.95
LS21_to_LS22_RS3_0008,-2.670975559,-22.38
LS21_to_LS22_RS3_0009,-2.53960409,-19.89
LS21_to_LS22_RS3_0010,-2.416475331,-17.41
LS21_to_LS22_RS3_0011,-2.28533964,-14.97
LS21_to_LS22_RS3_0012,-2.158085745,-12.77
LS21_to_LS22_RS3_0013,-2.033209211,-10.49
LS21_to_LS22_RS3_0014,-1.899444195,-8.258
LS21_to_LS22_RS3_0015,-1.779932982,-6.091
LS21_to_LS22_RS3_0016,-1.656449533,-3.989
LS21_to_LS22_RS3_0017,-1.534045552,-1.889
LS21_to_LS22_RS3_0018,-1.414409928,0.1297
LS21_to_LS22_RS3_0019,-1.306689596,1.896
LS21_to_LS22_RS3_0020,-1.210381617,3.651
LS21_to_LS22_RS3_0021,-1.085197772,5.582
LS21_to_LS22_RS3_0022,-0.963933018,7.544
LS21_to_LS22_RS3_0023,-0.843491447,9.51
LS21_to_LS22_RS3_0024,-0.714562986,11.49
LS21_to_LS22_RS3_0025,-0.593871652,13.49
LS21_to_LS22_RS3_0026,-0.457966174,15.42
LS21_to_LS22_RS3_0027,-0.320644823,17.28
LS21_to_LS22_RS3_0028,-0.183818894,19.05
LS21_to_LS22_RS3_0029,-0.053661896,20.73
LS21_to_LS22_RS3_0030,0.080923318,22.32
LS21_to_LS22_RS3_0031,0.219213425,23.88
LS21_to_LS22_RS3_0032,0.358423317,25.39
LS21_to_LS22_RS3_0033,0.488276496,26.82
LS21_to_LS22_RS3_0034,0.629239579,28.22
LS21_to_LS22_RS3_0035,0.769307406,29.56
LS21_to_LS22_RS3_0036,0.910506839,30.86
LS21_to_LS22_RS3_0037,1.055849239,32.13
LS21_to_LS22_RS3_0038,1.199288557,33.33
LS21_to_LS22_RS3_0039,1.339144922,34.52
LS21_to_LS22_RS3_0040,1.476728008,35.67
LS21_to_LS22_RS3_0041,1.618617012,36.81
LS21_to_LS22_RS3_0042,1.75484056,37.93
LS21_to_LS22_RS3_0043,1.893396337,39.02
LS21_to_LS22_RS3_0044,2.043761167,40.1
LS21_to_LS22_RS3_0045,2.179529534,41.16
LS21_to_LS22_RS3_0046,2.319411708,42.19
LS21_to_LS22_RS3_0047,2.465957331,43.22
LS21_to_LS22_RS3_0048,2.608831371,44.2
LS21_to_LS22_RS3_0049,2.746031764,45.12
LS21_to_LS22_RS3_0050,2.898922445,46.01
LS21_to_LS22_RS3_0051,3.043672563,46.83
LS21_to_LS22_RS3_0052,3.188792403,47.55
LS21_to_LS22_RS3_0053,3.336293079,48.17
LS21_to_LS22_RS3_0054,3.496405098,48.67
LS21_to_LS22_RS3_0055,3.64145675,49.11
LS21_to_LS22_RS3_0056,3.798564127,49.47
LS21_to_LS22_RS3_0057,3.953079507,49.75
LS21_to_LS22_RS3_0058,4.11146426,49.97
LS21_to_LS22_RS3_0059,4.265603489,50.1
LS22_to_LS23_RS3_0000,4.288263642,47.04
LS22_to_LS23_RS3_0001,4.227241996,44.36
LS22_to_LS23_RS3_0002,4.095154502,41.45
LS22_to_LS23_RS3_0003,3.953292065,39.15
LS22_to_LS23_RS3_0004,3.82198781,37.14
LS22_to_LS23_RS3_0005,3.683025058,35.25
LS22_to_LS23_RS3_0006,3.541090968,33.42
LS22_to_LS23_RS3_0007,3.401329449,31.65
LS22_to_LS23_RS3_0008,3.261771767,29.9
LS22_to_LS23_RS3_0009,3.124073761,28.2
LS22_to_LS23_RS3_0010,2.985292281,26.52
LS22_to_LS23_RS3_0011,2.844459388,24.83
LS22_to_LS23_RS3_0012,2.70822725,23.16
LS22_to_LS23_RS3_0013,2.572884036,21.48
LS22_to_LS23_RS3_0014,2.427535471,19.77
LS22_to_LS23_RS3_0015,2.287139201,18.06
LS22_to_LS23_RS3_0016,2.1592139,16.33
LS22_to_LS23_RS3_0017,2.021211806,14.59
LS22_to_LS23_RS3_0018,1.886061282,12.85
LS22_to_LS23_RS3_0019,1.749578916,11.1
LS22_to_LS23_RS3_0020,1.623569548,9.406
LS22_to_LS23_RS3_0021,1.499881628,7.78
LS22_to_LS23_RS3_0022,1.373585794,6.014
LS22_to_LS23_RS3_0023,1.244258767,4.228
LS22_to_LS23_RS3_0024,1.113440471,2.442
LS22_to_LS23_RS3_0025,0.988445929,0.762
LS22_to_LS23_RS3_0026,0.874131409,-0.8451
LS22_to_LS23_RS3_0027,0.763449005,-2.395
LS22_to_LS23_RS3_0028,0.658602544,-4.017
LS22_to_LS23_RS3_0029,0.528932862,-5.732
LS22_to_LS23_RS3_0030,0.407082832,-7.466
LS22_to_LS23_RS3_0031,0.279501376,-9.172
LS22_to_LS23_RS3_0032,0.154624248,-10.84
LS22_to_LS23_RS3_0033,0.025638635,-12.5
LS22_to_LS23_RS3_0034,-0.102594672,-14.13
LS22_to_LS23_RS3_0035,-0.252893526,-15.76
LS22_to_LS23_RS3_0036,-0.376075897,-17.37
LS22_to_LS23_RS3_0037,-0.512906747,-18.95
LS22_to_LS23_RS3_0038,-0.644760772,-20.51
LS22_to_LS23_RS3_0039,-0.783733142,-22.01
LS22_to_LS23_RS3_0040,-0.914231379,-23.53
LS22_to_LS23_RS3_0041,-1.055392607,-24.97
LS22_to_LS23_RS3_0042,-1.189247652,-26.45
LS22_to_LS23_RS3_0043,-1.337510145,-27.87
LS22_to_LS23_RS3_0044,-1.469331055,-29.27
LS22_to_LS23_RS3_0045,-1.619579581,-30.62
LS22_to_LS23_RS3_0046,-1.757913457,-31.92
LS22_to_LS23_RS3_0047,-1.898597698,-33.15
LS22_to_LS23_RS3_0048,-2.047319459,-34.4
LS22_to_LS23_RS3_0049,-2.188999929,-35.64
LS22_to_LS23_RS3_0050,-2.329897587,-36.89
LS22_to_LS23_RS3_0051,-2.472850308,-38.06
LS22_to_LS23_RS3_0052,-2.620722618,-39.22
LS22_to_LS23_RS3_0053,-2.762178307,-40.33
LS22_to_LS23_RS3_0054,-2.912192233,-41.36
LS22_to_LS23_RS3_0055,-3.070026219,-42.28
LS22_to_LS23_RS3_0056,-3.217001772,-43.12
LS22_to_LS23_RS3_0057,-3.368993308,-43.85
LS22_to_LS23_RS3_0058,-3.518976225,-44.47
LS22_to_LS23_RS3_0059,-3.68081322,-44.95
LS22_to_LS23_RS3_0060,-3.837476119,-45.38
LS22_to_LS23_RS3_0061,-3.991259679,-45.69
LS22_to_LS23_RS3_0062,-4.15644952,-45.98
LS22_to_LS23_RS3_0063,-4.317890326,-46.2
LS22_to_LS23_RS3_0064,-4.46704704,-45.59
LS23_to_LS24_RS3_0000,-4.476857069,-42.38
LS23_to_LS24_RS3_0001,-4.478455638,-42.75
LS23_to_LS24_RS3_0002,-4.330723413,-38.05
LS23_to_LS24_RS3_0003,-4.198590213,-34.79
LS23_to_LS24_RS3_0004,-4.063807087,-31.9
LS23_to_LS24_RS3_0005,-3.934664693,-29.19
LS23_to_LS24_RS3_0006,-3.805323839,-26.67
LS23_to_LS24_RS3_0007,-3.667695551,-24.31
LS23_to_LS24_RS3_0008,-3.538803296,-22.05
LS23_to_LS24_RS3_0009,-3.398594944,-19.9
LS23_to_LS24_RS3_0010,-3.262222298,-17.82
LS23_to_LS24_RS3_0011,-3.120476913,-15.79
LS23_to_LS24_RS3_0012,-2.990826286,-13.87
LS23_to_LS24_RS3_0013,-2.860537782,-12.09
LS23_to_LS24_RS3_0014,-2.723505959,-10.23
LS23_to_LS24_RS3_0015,-2.592537981,-8.433
LS23_to_LS24_RS3_0016,-2.460398804,-6.674
LS23_to_LS24_RS3_0017,-2.324885244,-4.984
LS23_to_LS24_RS3_0018,-2.199906361,-3.35
LS23_to_LS24_RS3_0019,-2.067114059,-1.727
LS23_to_LS24_RS3_0020,-1.939549835,-0.1328
LS23_to_LS24_RS3_0021,-1.819225867,1.38
LS23_to_LS24_RS3_0022,-1.717741576,2.756
LS23_to_LS24_RS3_0023,-1.589831367,4.319
LS23_to_LS24_RS3_0024,-1.463589132,5.894
LS23_to_LS24_RS3_0025,-1.334816922,7.491
LS23_to_LS24_RS3_0026,-1.205402511,9.069
LS23_to_LS24_RS3_0027,-1.075852948,10.68
LS23_to_LS24_RS3_0028,-0.939063902,12.28
LS23_to_LS24_RS3_0029,-0.8043804,13.84
LS23_to_LS24_RS3_0030,-0.677347983,15.37
LS23_to_LS24_RS3_0031,-0.525743178,16.84
LS23_to_LS24_RS3_0032,-0.389689856,18.3
LS23_to_LS24_RS3_0033,-0.250728373,19.73
LS23_to_LS24_RS3_0034,-0.109337367,21.1
LS23_to_LS24_RS3_0035,0.029484541,22.42
LS23_to_LS24_RS3_0036,0.165196274,23.7
LS23_to_LS24_RS3_0037,0.311044247,24.9
LS23_to_LS24_RS3_0038,0.451511792,26.09
LS23_to_LS24_RS3_0039,0.597573583,27.21
LS23_to_LS24_RS3_0040,0.735427964,28.3
LS23_to_LS24_RS3_0041,0.878390537,29.38
LS23_to_LS24_RS3_0042,1.019656023,30.45
LS23_to_LS24_RS3_0043,1.15739506,31.46
LS23_to_LS24_RS3_0044,1.31275285,32.45
LS23_to_LS24_RS3_0045,1.456591032,33.41
LS23_to_LS24_RS3_0046,1.597094003,34.37
LS23_to_LS24_RS3_0047,1.750209199,35.31
LS23_to_LS24_RS3_0048,1.889106559,36.22
LS23_to_LS24_RS3_0049,2.04161071,37.13
LS23_to_LS24_RS3_0050,2.175921711,38.01
LS23_to_LS24_RS3_0051,2.320836518,38.9
LS23_to_LS24_RS3_0052,2.469091768,39.73
LS23_to_LS24_RS3_0053,2.609078582,40.55
LS23_to_LS24_RS3_0054,2.762813413,41.31
LS23_to_LS24_RS3_0055,2.904885185,42.07
LS23_to_LS24_RS3_0056,3.053702349,42.79
LS23_to_LS24_RS3_0057,3.196838571,43.49
LS23_to_LS24_RS3_0058,3.351491096,44.17
LS23_to_LS24_RS3_0059,3.495594552,44.78
LS23_to_LS24_RS3_0060,3.642541934,45.34
LS23_to_LS24_RS3_0061,3.804902667,45.83
LS23_to_LS24_RS3_0062,3.954461416,46.31
LS23_to_LS24_RS3_0063,4.10674107,46.72
LS23_to_LS24_RS3_0064,4.250961086,47.07
LS24_to_LS25_RS3_0000,4.267448504,43.72
LS24_to_LS25_RS3_0001,4.226015047,41.55
LS24_to_LS25_RS3_0002,4.103802696,39.21
LS24_to_LS25_RS3_0003,3.962367867,36.48
LS24_to_LS25_RS3_0004,3.82458738,34.86
LS24_to_LS25_RS3_0005,3.687021739,32.64
LS24_to_LS25_RS3_0006,3.544130765,30.87
LS24_to_LS25_RS3_0007,3.413775766,29.15
LS24_to_LS25_RS3_0008,3.267655975,27.84
LS24_to_LS25_RS3_0009,3.126707478,26.23
LS24_to_LS25_RS3_0010,2.985767204,24.37
LS24_to_LS25_RS3_0011,2.845408783,23.14
LS24_to_LS25_RS3_0012,2.700914978,21.63
LS24_to_LS25_RS3_0013,2.568523021,20.1
LS24_to_LS25_RS3_0014,2.427268318,18.28
LS24_to_LS25_RS3_0015,2.284472671,16.74
LS24_to_LS25_RS3_0016,2.147533828,15.21
LS24_to_LS25_RS3_0017,2.009761153,13.96
LS24_to_LS25_RS3_0018,1.872720042,12.42
LS24_to_LS25_RS3_0019,1.740719118,10.86
LS24_to_LS25_RS3_0020,1.604828283,9.37
LS24_to_LS25_RS3_0021,1.473302621,7.947
LS24_to_LS25_RS3_0022,1.342495334,6.409
LS24_to_LS25_RS3_0023,1.213182628,4.861
LS24_to_LS25_RS3_0024,1.080311465,3.296
LS24_to_LS25_RS3_0025,0.949298574,1.798
LS24_to_LS25_RS3_0026,0.828468274,0.08854
LS24_to_LS25_RS3_0027,0.702269883,-1.007
LS24_to_LS25_RS3_0028,0.585257796,-2.557
LS24_to_LS25_RS3_0029,0.466445818,-3.634
LS24_to_LS25_RS3_0030,0.340019396,-5.28
LS24_to_LS25_RS3_0031,0.212487403,-6.674
LS24_to_LS25_RS3_0032,0.081668414,-7.789
LS24_to_LS25_RS3_0033,-0.05121873,-9.18
LS24_to_LS25_RS3_0034,-0.183201651,-10.56
LS24_to_LS25_RS3_0035,-0.327478534,-11.89
LS24_to_LS25_RS3_0036,-0.457679658,-13.26
LS24_to_LS25_RS3_0037,-0.594074467,-14.62
LS24_to_LS25_RS3_0038,-0.734511286,-15.98
LS24_to_LS25_RS3_0039,-0.872467494,-17.59
LS24_to_LS25_RS3_0040,-1.009120408,-18.93
LS24_to_LS25_RS3_0041,-1.158330115,-19.99
LS24_to_LS25_RS3_0042,-1.294781971,-21.3
LS24_to_LS25_RS3_0043,-1.428232284,-22.58
LS24_to_LS25_RS3_0044,-1.577304603,-24.1
